ski_pass,godina,vreme_nesrece,value,date1,date1_ts,
14-1078-01-28637 27,2005,1/4/2005 12:20,Karaman greben,1/4/2005 12:20,0,0
14 1078 02 2657414,2005,1/6/2005 13:30,Karaman greben,1/6/2005 13:30,176973,122.8979167
1.41078E+14,2005,1/6/2005 14:40,Karaman greben,1/6/2005 14:40,181196,125.8305556
14-1078-01-31317 15,2005,1/8/2005 11:15,Karaman greben,1/8/2005 11:15,341695,237.2881944
14-1078-02-29384 25,2005,1/10/2005 12:35,Karaman greben,1/10/2005 12:35,519253,360.5923611
14-1078-03-15028 16,2005,1/10/2005 12:35,Karaman greben,1/10/2005 12:35,519276,360.6083333
14-1078-02-29616 13,2005,1/11/2005 12:55,Karaman greben,1/11/2005 12:55,606902,421.4597222
14-1078-04-22226 15,2005,1/11/2005 14:15,Karaman greben,1/11/2005 14:15,611683,424.7798611
sp-14 1078-02-2976827,2005,1/12/2005 13:20,Karaman greben,1/12/2005 13:20,694764,482.475
14-1078-04-22837 26,2005,1/13/2005 13:50,Karaman greben,1/13/2005 13:50,782989,543.7423611
14-1078-03-1648216,2005,1/14/2005 13:55,Karaman greben,1/14/2005 13:55,869684,603.9472222
14-1078-03-1665816,2005,1/16/2005 10:25,Karaman greben,1/16/2005 10:25,1029886,715.1986111
14-1078-03-16800-16,2005,1/18/2005 13:15,Karaman greben,1/18/2005 13:15,1212907,842.2965278
14-1078-01-34682-28,2005,1/19/2005 9:25,Karaman greben,1/19/2005 9:25,1285494,892.7041667
14-1078-03-1832916,2005,1/25/2005 15:25,Karaman greben,1/25/2005 15:25,1825487,1267.699306
14-1078-03-18339 16,2005,1/28/2005 15:05,Karaman greben,1/28/2005 15:05,2083462,1446.848611
14-1078-02-3404124,2005,1/29/2005 12:30,Karaman greben,1/29/2005 12:30,2160593,1500.411806
14-1078-02-34628 15,2005,2/2/2005 10:00,Karaman greben,2/2/2005 10:00,2497198,1734.165278
14-1078-01-39394-24,2005,2/2/2005 13:40,Karaman greben,2/2/2005 13:40,2510368,1743.311111
14-1078-04-25771 13,2005,2/3/2005 12:20,Karaman greben,2/3/2005 12:20,2591979,1799.985417
 30-1078-01-3994027,2005,2/5/2005 16:05,Karaman greben,2/5/2005 16:05,2778280,1929.361111
30-1078-04-26505 27,2005,2/8/2005 13:45,Karaman greben,2/8/2005 13:45,3029065,2103.517361
14-1078-04-2051927,2005,2/8/2005 15:30,Karaman greben,2/8/2005 15:30,3035392,2107.911111
30-1078-02-38007 13,2005,2/8/2005 16:30,Karaman greben,2/8/2005 16:30,3038960,2110.388889
30-1078-04-28743  25,2005,2/9/2005 12:55,Karaman greben,2/9/2005 12:55,3112454,2161.426389
3.01078E+14,2005,2/10/2005 13:56,Karaman greben,2/10/2005 13:56,3202522,2223.973611
1.41678E+14,2005,2/10/2005 15:30,Karaman greben,2/10/2005 15:30,3208156,2227.886111
1.41078E+14,2005,2/11/2005 13:15,Karaman greben,2/11/2005 13:15,3286505,2282.295139
14-1078-01-42722-28,2005,2/12/2005 11:38,Karaman greben,2/12/2005 11:38,3367044,2338.225
14-1078-01-42724-28,2005,2/12/2005 13:35,Karaman greben,2/12/2005 13:35,3374060,2343.097222
30-1078-01-42678-28,2005,2/12/2005 15:20,Karaman greben,2/12/2005 15:20,3380374,2347.481944
14-1078-04-31227  25,2005,2/17/2005 16:20,Karaman greben,2/17/2005 16:20,3815995,2649.996528
30-1078-03-24328 16,2005,2/22/2005 14:00,Karaman greben,2/22/2005 14:00,4239575,2944.149306
30-1078-804***53 27 (oštećen ski pass),2005,2/22/2005 15:00,Karaman greben,2/22/2005 15:00,4243201,2946.667361
30-1078-01-46466 27,2005,2/23/2005 11:46,Karaman greben,2/23/2005 11:46,4317910,2998.548611
30-1078-02-4184425,2005,2/23/2005 15:30,Karaman greben,2/23/2005 15:30,4331408,3007.922222
30-1078-04-32427 13,2005,2/23/2005 15:45,Karaman greben,2/23/2005 15:45,4332267,3008.51875
30-1078-01-46345 27,2005,2/23/2005 15:50,Karaman greben,2/23/2005 15:50,4332590,3008.743056
30-1078-01-48546-27,2005,2/26/2005 16:00,Karaman greben,2/26/2005 16:00,4592399,3189.165972
30-1078-03-25690 16,2005,2/28/2005 12:35,Karaman greben,2/28/2005 12:35,4752865,3300.600694
30-1078-03-25270-16,2005,3/3/2005 15:30,Karaman greben,3/3/2005 15:30,5022563,3487.890972
